OBJECTID,NAME,PMA,PARKSBND_AREA,SHAPE_Length,SHAPE_Area
504,WOODLAND PARK ZOO,200,3959004.924543,8087.50776660486,3958989.08854792
505,YESLER TERRACE PARK,4263,139153.988756,1715.63176133996,139153.432141076
506,YORK PARK,580,11032.531717,454.368070719664,11032.4875869138
507,YORK PLAYGROUND,3926,29898.650087,1010.48049991266,29898.5304922374
508,,4463,6165.400694,348.30630092517,6165.37603229202
509,A. B. ERNST PARK,4404,11546.519529,432.565094389434,11546.4733431277
510,HIGHLAND PLACE,3979,1587.893326,161.705713600465,1587.88697478045
511,KOBE TERRACE,3915,44166.135503,1079.48868977133,44165.958838447
512,TWELFTH WEST AND W HOWE PARK,281,49289.642844,1259.40871563037,49289.4456855592
513,URSULA JUDKINS VIEWPOINT,4451,106227.143467,2054.47716385168,106226.718559371
514,WASHINGTON PARK - JAPANESE GDN,4487,163929.14429,1969.43295498687,163928.488573504
