pmaid,name,feature_desc,hours,xpos,ypos,Location
370,Madrona Park,Picnic Sites,4 a.m. - 11:30 p.m.,-122.282679,47.609299,"(47.609299, -122.282679)"
240,Carkeek Park,Restrooms,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",-122.379763,47.712194,"(47.712194, -122.379763)"
419,Mt. Baker Park,Play Area (ADA Compliant),6 a.m. - 10 p.m.,-122.288481,47.580957,"(47.580957, -122.288481)"
286,Licton Springs Park,Restrooms,4 a.m. - 11:30 p.m.,-122.338735,47.698542,"(47.698542, -122.338735)"
279,Northeast Queen Anne Greenbelt,Woods,4 a.m. - 11:30 p.m.,-122.345011,47.635866,"(47.635866, -122.345011)"
317,Magnolia Park,Tennis Court (Outdoor),4 a.m. - 11:30 p.m.,-122.398993,47.632366,"(47.632366, -122.398993)"
4447,Marra-Desimone Park,P-Patch Community Garden,4 a.m. - 11:30 p.m.,,,
393,Washington Park Arboretum,Woods,4 a.m. - 11:30 p.m.,-122.294835,47.636477,"(47.636477, -122.294835)"
327,Jackson Park Golf Course,Golf,4 a.m. - 11:30 p.m.,-122.319103,47.729254,"(47.729254, -122.319103)"
114,Jefferson Park,Soccer,4 a.m. - 11:30 p.m.,-122.311441,47.568067,"(47.568067, -122.311441)"
3102,Cal Anderson Park and Bobby Morris Playfield,Paths,4 a.m. - 11:30 p.m.,-122.319134,47.617013,"(47.617013, -122.319134)"
4154,Camp Long,Rental Facility,"<b>Tuesday - Sunday</b> 10 a.m. - 6 p.m. <BR>
(December-February: Closed on Sundays)",-122.373161,47.556242,"(47.556242, -122.373161)"
268,Me-Kwa-Mooks Natural Area,Woods,4 a.m. - 11:30 p.m.,-122.403424,47.563782,"(47.563782, -122.403424)"
4421,Trolley Hill Park,View,4 a.m. - 11:30 p.m.,-122.347039,47.635143,"(47.635143, -122.347039)"
4441,Madison Park North Beach,Play Area,4 a.m. - 11:30 p.m.,-122.276118,47.639084,"(47.639084, -122.276118)"
331,David Rodgers Park,Paths,4 a.m. - 11:30 p.m.,-122.359484,47.644135,"(47.644135, -122.359484)"
310,Discovery Park,Rental Facility,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",-122.415282,47.66083,"(47.66083, -122.415282)"
461,Lowman Beach Park,Boat Launch (Hand Carry),4 a.m. - 11:30 p.m.,-122.396728,47.540367,"(47.540367, -122.396728)"
453,Fauntleroy Park,Hiking Trails,6 a.m. - 10 p.m.,-122.383222,47.5192,"(47.5192, -122.383222)"
397,Judkins Park and Playfield,Basketball (Full),4 a.m. - 11:30 p.m.,-122.303951,47.592425,"(47.592425, -122.303951)"
580,York Park,Paths (ADA Compliant),4 a.m. - 11:30 p.m.,-122.295537,47.570461,"(47.570461, -122.295537)"
445,Alki Beach Park,Waterfront,4 a.m.-11:30 p.m.,-122.402173,47.582912,"(47.582912, -122.402173)"
4453,Solstice Park,P-Patch Community Garden,4 a.m. - 11:30 p.m.,-122.390347,47.536414,"(47.536414, -122.390347)"
324,Parsons Gardens,Garden,6 a.m. - 10 p.m.,-122.366082,47.629868,"(47.629868, -122.366082)"
463,Riverview Playfield,Tennis Court (Outdoor),6 a.m. - 10 p.m.,-122.348688,47.54101,"(47.54101, -122.348688)"
433,Dr. Jose Rizal Park,Woods,4 a.m. - 11:30 p.m.,-122.318094,47.593859,"(47.593859, -122.318094)"
4011,Fremont Canal Park,Waterfront,4 a.m. - 11:30 p.m.,-122.357864,47.651802,"(47.651802, -122.357864)"
393,Washington Park Arboretum,Waterfront,4 a.m. - 11:30 p.m.,-122.294835,47.636477,"(47.636477, -122.294835)"
4408,Greenwood Park,Paths,4 a.m. - 11:30 p.m.,-122.350647,47.693048,"(47.693048, -122.350647)"
293,Gas Works Park,Paths,6 a.m. - 10 p.m.,-122.334906,47.645639,"(47.645639, -122.334906)"
317,Magnolia Park,Restrooms,4 a.m. - 11:30 p.m.,-122.398993,47.632366,"(47.632366, -122.398993)"
420,Pritchard Island Beach,Restrooms (ADA Compliant),6 a.m. - 10 p.m.,-122.26283,47.528948,"(47.528948, -122.26283)"
460,Lincoln Park,Picnic Sites,4 a.m. - 11:30 p.m.,-122.396012,47.531176,"(47.531176, -122.396012)"
240,Carkeek Park,View,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",-122.379763,47.712194,"(47.712194, -122.379763)"
324,Parsons Gardens,Weddings and Ceremonies,6 a.m. - 10 p.m.,-122.366082,47.629868,"(47.629868, -122.366082)"
323,Occidental Square,Decorative Fountain,6 a.m. - 10 p.m.,-122.333272,47.600463,"(47.600463, -122.333272)"
243,Golden Gardens Park,Paths (ADA Compliant),4 a.m. - 11:30 p.m.,-122.403454,47.686852,"(47.686852, -122.403454)"
409,Genesee Park and Playfield,Restrooms (ADA Compliant),4 a.m. - 11:30 p.m.,-122.278744,47.564856,"(47.564856, -122.278744)"
401,Bradner Gardens Park,Restrooms (ADA Compliant),4 a.m. - 11:30 p.m.,-122.295426,47.587419,"(47.587419, -122.295426)"
359,Howell Park,Waterfront,4 a.m. - 11:30 p.m.,-122.280313,47.617518,"(47.617518, -122.280313)"
398,Warren G. Magnuson Park,Soccer,4 a.m. - 11:30 p.m.,-122.255084,47.680304,"(47.680304, -122.255084)"
1630,Maple School Ravine,Woods,4 a.m. - 11:30 p.m.,-122.308342,47.551071,"(47.551071, -122.308342)"
492,Magnolia Greenbelt,Green Space,4 a.m. - 11:30 p.m.,,,
391,Ravenna Park,Woods,4 a.m. - 11:30 p.m.,-122.305705,47.671404,"(47.671404, -122.305705)"
4242,Sam Smith Park,Restrooms (ADA Compliant),4 a.m. - 11:30 p.m.,-122.297814,47.589982,"(47.589982, -122.297814)"
4405,Thyme Patch Park,Paths,4 a.m. - 11:30 p.m.,-122.395214,47.670709,"(47.670709, -122.395214)"
428,Seward Park,Weddings and Ceremonies,6 a.m. - 10 p.m.,-122.250639,47.54923,"(47.54923, -122.250639)"
347,Matthews Beach Park,Paths,6 a.m. - 10 p.m.,-122.271785,47.694564,"(47.694564, -122.271785)"
453,Fauntleroy Park,Creek,6 a.m. - 10 p.m.,-122.383222,47.5192,"(47.5192, -122.383222)"
444,View Ridge Playfield,Paths,4 a.m. - 11:30 p.m.,-122.279969,47.679747,"(47.679747, -122.279969)"
114,Jefferson Park,Skatepark,4 a.m. - 11:30 p.m.,-122.311441,47.568067,"(47.568067, -122.311441)"
460,Lincoln Park,Wading Pool or Water Feature,4 a.m. - 11:30 p.m.,-122.396012,47.531176,"(47.531176, -122.396012)"
114,Jefferson Park,Tennis Court (Outdoor),4 a.m. - 11:30 p.m.,-122.311441,47.568067,"(47.568067, -122.311441)"
314,Kinnear Park,Historic Landmark,6 a.m. - 10 p.m.,-122.367207,47.627317,"(47.627317, -122.367207)"
466,Seola Park,NO Beach Access,4 a.m. - 11:30 p.m.,-122.374332,47.50039,"(47.50039, -122.374332)"
4446,I-5 Colonnade,Dog Off Leash Area,4 a.m. - 11:30 p.m.,-122.323409,47.634898,"(47.634898, -122.323409)"
361,Northacres Park,Hiking Trails,6 a.m. - 10 p.m.,-122.326124,47.721775,"(47.721775, -122.326124)"
460,Lincoln Park,Horseshoe Pits,4 a.m. - 11:30 p.m.,-122.396012,47.531176,"(47.531176, -122.396012)"
399,Volunteer Park,Restrooms,6 a.m. - 10 p.m.,-122.315568,47.630378,"(47.630378, -122.315568)"
4158,Puget Boulevard Commons,Lawn Bowling,4 a.m. - 11:30 p.m.,,,
3917,Don Armeni Park,View,4 a.m. - 11:30 p.m. except for vehicles with boats trailers and permits,-122.382295,47.59274,"(47.59274, -122.382295)"
4040,Lakewood Moorage,Boat Launch (Hand Carry),"<b>Tuesday thru Saturday</b><br> 11 a.m. - 5 p.m.<br>
24-hour security gate with tenant access<br> 
(Summer hours 10 a.m. - 5 p.m. Memorial Day thru Labor Day)",,,
243,Golden Gardens Park,Fire Pit,4 a.m. - 11:30 p.m.,-122.403454,47.686852,"(47.686852, -122.403454)"
4452,Northlake Park,Waterfront,4 a.m. - 11:30 p.m.,-122.320826,47.654365,"(47.654365, -122.320826)"
473,Me-Kwa-Mooks Park,Woods,6 a.m. - 11 p.m.,-122.404006,47.563167,"(47.563167, -122.404006)"
398,Warren G. Magnuson Park,Restrooms,4 a.m. - 11:30 p.m.,-122.255084,47.680304,"(47.680304, -122.255084)"
114,Jefferson Park,View,4 a.m. - 11:30 p.m.,-122.311441,47.568067,"(47.568067, -122.311441)"
307,Green Lake Park,Baseball/Softball,24 Hours,-122.330394,47.678938,"(47.678938, -122.330394)"
4446,I-5 Colonnade,View,4 a.m. - 11:30 p.m.,-122.323409,47.634898,"(47.634898, -122.323409)"
3122,Katie Black's Garden,Garden,4 a.m. - 11:30 p.m.,-122.317642,47.590421,"(47.590421, -122.317642)"
705,Duwamish Waterway Park,View,4 a.m. - 11:30 p.m.,-122.319694,47.531156,"(47.531156, -122.319694)"
429,"John C. Little, Sr. Park",Paths,6 a.m. - 10 p.m.,-122.286686,47.539048,"(47.539048, -122.286686)"
310,Discovery Park,Weddings and Ceremonies,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",-122.415282,47.66083,"(47.66083, -122.415282)"
3102,Cal Anderson Park and Bobby Morris Playfield,Paths (ADA Compliant),4 a.m. - 11:30 p.m.,-122.319134,47.617013,"(47.617013, -122.319134)"
4154,Camp Long,Weddings and Ceremonies,"<b>Tuesday - Sunday</b> 10 a.m. - 6 p.m. <BR>
(December-February: Closed on Sundays)",-122.373161,47.556242,"(47.556242, -122.373161)"
3915,Kobe Terrace,Paths (ADA Compliant),6 a.m. - 10 p.m.,-122.324494,47.60042,"(47.60042, -122.324494)"
369,Madison Park,Tennis Lights,4 a.m. - 11:30 p.m.,-122.276602,47.635779,"(47.635779, -122.276602)"
307,Green Lake Park,Guarded Beach,24 Hours,-122.330394,47.678938,"(47.678938, -122.330394)"
297,Little Brook Park,Creek,4 a.m. - 11:30 p.m.,-122.294567,47.731387,"(47.731387, -122.294567)"
3909,Tilikum Place,Historic Landmark,6 a.m. - 10 p.m.,-122.347411,47.618382,"(47.618382, -122.347411)"
362,Boren Park,Paths,4 a.m. - 11:30 p.m.,-122.311628,47.635274,"(47.635274, -122.311628)"
433,Dr. Jose Rizal Park,View,4 a.m. - 11:30 p.m.,-122.318094,47.593859,"(47.593859, -122.318094)"
460,Lincoln Park,Pool (Outdoor),4 a.m. - 11:30 p.m.,-122.396012,47.531176,"(47.531176, -122.396012)"
4243,Atlantic Street Park,Paths,4 a.m. - 11:30 p.m.,-122.30566,47.589165,"(47.589165, -122.30566)"
392,Frink Park,Paths,4 a.m. - 11:30 p.m.,-122.290256,47.599506,"(47.599506, -122.290256)"
4426,Homer Harris Park,Play Area (ADA Compliant),4 a.m. - 11:30 p.m.,-122.300994,47.617309,"(47.617309, -122.300994)"
3889,Terry Pettus Park,View,4 a.m. - 11:30 p.m.,-122.329689,47.636742,"(47.636742, -122.329689)"
344,Lake Union Park,Wading Pool or Water Feature,4 a.m. - 11:30 p.m.,-122.338848,47.627015,"(47.627015, -122.338848)"
398,Warren G. Magnuson Park,Lacrosse,4 a.m. - 11:30 p.m.,-122.255084,47.680304,"(47.680304, -122.255084)"
1100393,Washington Park Playfield,Baseball/Softball,4 a.m. - 11:30 p.m.,-122.293925,47.627064,"(47.627064, -122.293925)"
391,Ravenna Park,Tennis Court (Outdoor),4 a.m. - 11:30 p.m.,-122.305705,47.671404,"(47.671404, -122.305705)"
310,Discovery Park,Historic Landmark,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",-122.415282,47.66083,"(47.66083, -122.415282)"
393,Washington Park Arboretum,Restrooms,4 a.m. - 11:30 p.m.,-122.294835,47.636477,"(47.636477, -122.294835)"
4433,Smith Cove,View,4 a.m. - 11:30 p.m.,-122.387679,47.632602,"(47.632602, -122.387679)"
399,Volunteer Park,Tennis Lights,6 a.m. - 10 p.m.,-122.315568,47.630378,"(47.630378, -122.315568)"
317,Magnolia Park,Waterfront,4 a.m. - 11:30 p.m.,-122.398993,47.632366,"(47.632366, -122.398993)"
356,Harrison Ridge Greenbelt,Green Space,4 a.m. - 11:30 p.m.,-122.290339,47.619711,"(47.619711, -122.290339)"
419,Mt. Baker Park,Guarded Beach,6 a.m. - 10 p.m.,-122.288481,47.580957,"(47.580957, -122.288481)"
409,Genesee Park and Playfield,Paths (ADA Compliant),4 a.m. - 11:30 p.m.,-122.278744,47.564856,"(47.564856, -122.278744)"
361,Northacres Park,Play Area (ADA Compliant),6 a.m. - 10 p.m.,-122.326124,47.721775,"(47.721775, -122.326124)"
463,Riverview Playfield,Woods,6 a.m. - 10 p.m.,-122.348688,47.54101,"(47.54101, -122.348688)"
433,Dr. Jose Rizal Park,Dog Off Leash Area,4 a.m. - 11:30 p.m.,-122.318094,47.593859,"(47.593859, -122.318094)"
408,Dearborn Park,Paths (ADA Compliant),4 a.m. - 11:30 p.m.,-122.296225,47.553389,"(47.553389, -122.296225)"
419,Mt. Baker Park,Creek,6 a.m. - 10 p.m.,-122.288481,47.580957,"(47.580957, -122.288481)"
4404,A. B. Ernst Park,View,4 a.m. - 11:30 p.m.,-122.348826,47.650087,"(47.650087, -122.348826)"
243,Golden Gardens Park,Restrooms (ADA Compliant),4 a.m. - 11:30 p.m.,-122.403454,47.686852,"(47.686852, -122.403454)"
240,Carkeek Park,Woods,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",-122.379763,47.712194,"(47.712194, -122.379763)"
428,Seward Park,Picnic Sites,6 a.m. - 10 p.m.,-122.250639,47.54923,"(47.54923, -122.250639)"
445,Alki Beach Park,Restrooms,4 a.m.-11:30 p.m.,-122.402173,47.582912,"(47.582912, -122.402173)"
314,Kinnear Park,Weddings and Ceremonies,6 a.m. - 10 p.m.,-122.367207,47.627317,"(47.627317, -122.367207)"
365,Lakeview Park,View,4 a.m. - 11:30 p.m.,-122.284732,47.62205,"(47.62205, -122.284732)"
286,Licton Springs Park,Woods,4 a.m. - 11:30 p.m.,-122.338735,47.698542,"(47.698542, -122.338735)"
237,Pelly Place Natural Area,Green Space,4 a.m. - 11:30 p.m.,-122.39309,47.541492,"(47.541492, -122.39309)"
375,West Montlake Park,Waterfront,4 a.m. - 11:30 p.m.,-122.30982,47.646219,"(47.646219, -122.30982)"
234,SW Queen Anne Greenbelt,Woods,4 a.m. - 11:30 p.m.,-122.373209,47.633353,"(47.633353, -122.373209)"
416,Thornton Creek Park #1,Green Space,4 a.m. - 11:30 p.m.,-122.307629,47.707034,"(47.707034, -122.307629)"
292,Woodland Park,Paths,4 a.m. - 11:30 p.m.,-122.344218,47.668906,"(47.668906, -122.344218)"
304,Bhy Kracke Park,Weddings and Ceremonies,4 a.m. - 11:30 p.m.,-122.348403,47.630426,"(47.630426, -122.348403)"
4422,MacLean Park,Paths,4 a.m. - 11:30 p.m.,-122.345276,47.636191,"(47.636191, -122.345276)"
369,Madison Park,Waterfront,4 a.m. - 11:30 p.m.,-122.276602,47.635779,"(47.635779, -122.276602)"
4019,Mt. Claire Park,View,4 a.m. - 11:30 p.m.,-122.28642,47.580737,"(47.580737, -122.28642)"
293,Gas Works Park,Play Area,6 a.m. - 10 p.m.,-122.334906,47.645639,"(47.645639, -122.334906)"
324,Parsons Gardens,Historic Landmark,6 a.m. - 10 p.m.,-122.366082,47.629868,"(47.629868, -122.366082)"
397,Judkins Park and Playfield,Paths (ADA Compliant),4 a.m. - 11:30 p.m.,-122.303951,47.592425,"(47.592425, -122.303951)"
263,Leschi-Lake Dell Natural Area,Hiking Trails,4 a.m. - 11:30 p.m.,-122.287835,47.604695,"(47.604695, -122.287835)"
367,Leschi Park,Boat Moorage,4 a.m. - 11:30 p.m.,-122.286548,47.600931,"(47.600931, -122.286548)"
483,Cowen Park,Historic Landmark,4 a.m. - 11:30 p.m.,-122.313072,47.672596,"(47.672596, -122.313072)"
342,Kerry Park,View,24 hours,-122.359874,47.629023,"(47.629023, -122.359874)"
398,Warren G. Magnuson Park,Waterfront,4 a.m. - 11:30 p.m.,-122.255084,47.680304,"(47.680304, -122.255084)"
295,Cormorant Cove,View,4 a.m. - 11:30 p.m.,-122.412089,47.570984,"(47.570984, -122.412089)"
4022,Bellevue Place,Paths,4 a.m. - 11:30 p.m.,-122.327658,47.626904,"(47.626904, -122.327658)"
462,Puget Park,Hiking Trails,4 a.m. - 11:30 p.m.,-122.356922,47.558473,"(47.558473, -122.356922)"
3982,Denny Blaine Park,View,4 a.m. - 11:30 p.m.,-122.280548,47.62011,"(47.62011, -122.280548)"
309,Denny Park,Dog Off Leash Area,4 a.m. - 11:30 p.m.,-122.341049,47.61913,"(47.61913, -122.341049)"
282,Pigeon Point Park,Woods,4 a.m. - 11:30 p.m.,-122.356966,47.563271,"(47.563271, -122.356966)"
3973,Waterfront Park,Fishing,6 a.m. - 10 p.m.,-122.342196,47.606778,"(47.606778, -122.342196)"
411,Lakeridge Park,Green Space,4 a.m. - 11:30 p.m.,-122.247429,47.506033,"(47.506033, -122.247429)"
2975,Fairview Park,Waterfront,4 a.m. - 11:30 p.m.,-122.325368,47.647413,"(47.647413, -122.325368)"
312,Freeway Park - Jim Ellis Freeway Park,Paths (ADA Compliant),6 a.m. - 10 p.m.,-122.330904,47.609472,"(47.609472, -122.330904)"
4408,Greenwood Park,Play Area (ADA Compliant),4 a.m. - 11:30 p.m.,-122.350647,47.693048,"(47.693048, -122.350647)"
411,Lakeridge Park,Creek,4 a.m. - 11:30 p.m.,-122.247429,47.506033,"(47.506033, -122.247429)"
316,Lawton Park,Soccer,4 a.m. - 11:30 p.m.,-122.391158,47.655065,"(47.655065, -122.391158)"
4443,Victory Creek Park,Creek,4 a.m. - 11:30 p.m.,-122.315554,47.709155,"(47.709155, -122.315554)"
485,Arroyos Natural Area,Green Space,4 a.m. - 11:30 p.m.,-122.387822,47.505679,"(47.505679, -122.387822)"
311,Myrtle Edwards Park,View,24 Hours,-122.36087,47.618767,"(47.618767, -122.36087)"
240,Carkeek Park,Picnic Sites (ADA Compliant),"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",-122.379763,47.712194,"(47.712194, -122.379763)"
3914,Alvin Larkins Park,Paths,4 a.m. - 11:30 p.m.,-122.288745,47.614318,"(47.614318, -122.288745)"
428,Seward Park,Restrooms,6 a.m. - 10 p.m.,-122.250639,47.54923,"(47.54923, -122.250639)"
370,Madrona Park,Woods,4 a.m. - 11:30 p.m.,-122.282679,47.609299,"(47.609299, -122.282679)"
445,Alki Beach Park,Picnic Sites,4 a.m.-11:30 p.m.,-122.402173,47.582912,"(47.582912, -122.402173)"
395,Dr. Blanche Lavizzo Park,Paths (ADA Compliant),6 a.m. - 10 p.m.,-122.304179,47.600278,"(47.600278, -122.304179)"
357,Prentis I. Frazier Park,Play Area,6 a.m. - 10 p.m.,-122.301614,47.622895,"(47.622895, -122.301614)"
301,Llandover Woods Greenspace,Woods,4 a.m. - 11:30 p.m.,-122.364545,47.733024,"(47.733024, -122.364545)"
369,Madison Park,Weddings and Ceremonies,4 a.m. - 11:30 p.m.,-122.276602,47.635779,"(47.635779, -122.276602)"
468,Westcrest Park,Dog Off Leash Area,6 a.m. - 10 p.m.,-122.341719,47.525783,"(47.525783, -122.341719)"
2956,North Passage Point Park,View,4 a.m. - 11:30 p.m.,-122.322428,47.653963,"(47.653963, -122.322428)"
4403,Nora's Woods,Paths,4 a.m. - 11:30 p.m.,-122.294573,47.608732,"(47.608732, -122.294573)"
4154,Camp Long,Restrooms,"<b>Tuesday - Sunday</b> 10 a.m. - 6 p.m. <BR>
(December-February: Closed on Sundays)",-122.373161,47.556242,"(47.556242, -122.373161)"
310,Discovery Park,Restrooms,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",-122.415282,47.66083,"(47.66083, -122.415282)"
4456,Hubbard Homestead,Skatespot,4 a.m. - 11:30 p.m.,,,
344,Lake Union Park,Model Boat Pond,4 a.m. - 11:30 p.m.,-122.338848,47.627015,"(47.627015, -122.338848)"
425,Stan Sayres Memorial Park,Paths (ADA Compliant),"<p><strong>6:00 a.m. to 10:00 p.m. </strong><br>
  Gates locked between 10:00 p.m. and 6 a.m. <br>
  With overnight parking pass vehicles with boat trailers may  remain in the parking lot after closing with a four night maximum.</p>",-122.277162,47.571222,"(47.571222, -122.277162)"
416,Thornton Creek Park #1,Creek,4 a.m. - 11:30 p.m.,-122.307629,47.707034,"(47.707034, -122.307629)"
240,Carkeek Park,Rental Facility,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",-122.379763,47.712194,"(47.712194, -122.379763)"
275,Pipers Creek Natural Area,Green Space,4 a.m. - 11:30 p.m.,-122.364699,47.714678,"(47.714678, -122.364699)"
4454,Ercolini Park,Play Area (ADA Compliant),4 a.m. - 11:30 p.m.,,,
395,Dr. Blanche Lavizzo Park,Community Center,6 a.m. - 10 p.m.,-122.304179,47.600278,"(47.600278, -122.304179)"
367,Leschi Park,Tennis Court (Outdoor),4 a.m. - 11:30 p.m.,-122.286548,47.600931,"(47.600931, -122.286548)"
336,Regrade Park,Pesticide Free,6 a.m. - 10 p.m.,-122.344776,47.614346,"(47.614346, -122.344776)"
317,Magnolia Park,Weddings and Ceremonies,4 a.m. - 11:30 p.m.,-122.398993,47.632366,"(47.632366, -122.398993)"
347,Matthews Beach Park,Boat Launch (Hand Carry),6 a.m. - 10 p.m.,-122.271785,47.694564,"(47.694564, -122.271785)"
475,Belvoir Place,Boat Launch (Hand Carry),4 a.m. - 11:30 p.m.,-122.283215,47.655124,"(47.655124, -122.283215)"
3102,Cal Anderson Park and Bobby Morris Playfield,Baseball/Softball,4 a.m. - 11:30 p.m.,-122.319134,47.617013,"(47.617013, -122.319134)"
428,Seward Park,Environmental Learning Center,6 a.m. - 10 p.m.,-122.250639,47.54923,"(47.54923, -122.250639)"
4075,Lynn Street Mini Park,View,4 a.m. - 11:30 p.m.,-122.32975,47.639849,"(47.639849, -122.32975)"
420,Pritchard Island Beach,Guarded Beach,6 a.m. - 10 p.m.,-122.26283,47.528948,"(47.528948, -122.26283)"
307,Green Lake Park,Paths (ADA Compliant),24 Hours,-122.330394,47.678938,"(47.678938, -122.330394)"
444,View Ridge Playfield,Play Area (ADA Compliant),4 a.m. - 11:30 p.m.,-122.279969,47.679747,"(47.679747, -122.279969)"
347,Matthews Beach Park,Play Area (ADA Compliant),6 a.m. - 10 p.m.,-122.271785,47.694564,"(47.694564, -122.271785)"
592,Sturgus Park,Paths,4 a.m. - 11:30 p.m.,-122.314376,47.59409,"(47.59409, -122.314376)"
401,Bradner Gardens Park,P-Patch Community Garden,4 a.m. - 11:30 p.m.,-122.295426,47.587419,"(47.587419, -122.295426)"
392,Frink Park,Hiking Trails,4 a.m. - 11:30 p.m.,-122.290256,47.599506,"(47.599506, -122.290256)"
429,"John C. Little, Sr. Park",Play Area (ADA Compliant),6 a.m. - 10 p.m.,-122.286686,47.539048,"(47.539048, -122.286686)"
405,Colman Park,Woods,6 a.m. - 10 p.m.,-122.288612,47.58547,"(47.58547, -122.288612)"
483,Cowen Park,Restrooms,4 a.m. - 11:30 p.m.,-122.313072,47.672596,"(47.672596, -122.313072)"
3966,Weather Watch Park,Waterfront,4 a.m. - 11:30 p.m.,-122.409506,47.568247,"(47.568247, -122.409506)"
4243,Atlantic Street Park,Adult Fitness Equipment,4 a.m. - 11:30 p.m.,-122.30566,47.589165,"(47.589165, -122.30566)"
4154,Camp Long,Environmental Learning Center,"<b>Tuesday - Sunday</b> 10 a.m. - 6 p.m. <BR>
(December-February: Closed on Sundays)",-122.373161,47.556242,"(47.556242, -122.373161)"
114,Jefferson Park,Rental Facility,4 a.m. - 11:30 p.m.,-122.311441,47.568067,"(47.568067, -122.311441)"
488,Ravenna-Eckstein Park,Basketball (Full),4 a.m. - 11:30 p.m.,-122.304964,47.676873,"(47.676873, -122.304964)"
469,West Seattle Golf Course,Golf,4 a.m. - 11:30 p.m.,-122.369657,47.55986,"(47.55986, -122.369657)"
307,Green Lake Park,Community Center,24 Hours,-122.330394,47.678938,"(47.678938, -122.330394)"
367,Leschi Park,View,4 a.m. - 11:30 p.m.,-122.286548,47.600931,"(47.600931, -122.286548)"
310,Discovery Park,Environmental Learning Center,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",-122.415282,47.66083,"(47.66083, -122.415282)"
595,Christie Park,Basketball (Half),4 a.m. - 11:30 p.m.,-122.319072,47.659308,"(47.659308, -122.319072)"
4439,Lake People Park (Xacua'bs),View,4 a.m. - 11:30 p.m.,-122.292012,47.569133,"(47.569133, -122.292012)"
374,East Montlake Park,Waterfront,4 a.m. - 11:30 p.m.,-122.301441,47.646662,"(47.646662, -122.301441)"
460,Lincoln Park,Restrooms,4 a.m. - 11:30 p.m.,-122.396012,47.531176,"(47.531176, -122.396012)"
370,Madrona Park,View,4 a.m. - 11:30 p.m.,-122.282679,47.609299,"(47.609299, -122.282679)"
468,Westcrest Park,Woods,6 a.m. - 10 p.m.,-122.341719,47.525783,"(47.525783, -122.341719)"
4243,Atlantic Street Park,Play Area (ADA Compliant),4 a.m. - 11:30 p.m.,-122.30566,47.589165,"(47.589165, -122.30566)"
4426,Homer Harris Park,Paths,4 a.m. - 11:30 p.m.,-122.300994,47.617309,"(47.617309, -122.300994)"
429,"John C. Little, Sr. Park",Adult Fitness Equipment,6 a.m. - 10 p.m.,-122.286686,47.539048,"(47.539048, -122.286686)"
398,Warren G. Magnuson Park,Cricket,4 a.m. - 11:30 p.m.,-122.255084,47.680304,"(47.680304, -122.255084)"
310,Discovery Park,Waterfront,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",-122.415282,47.66083,"(47.66083, -122.415282)"
4005,Madrona Briar Patch,Paths,4 a.m. - 11:30 p.m.,-122.284261,47.615231,"(47.615231, -122.284261)"
249,Salmon Bay Park,Restrooms,4 a.m. - 11:30 p.m.,-122.381343,47.679297,"(47.679297, -122.381343)"
252,Sunset Hill Park,Weddings and Ceremonies,4 a.m. - 11:30 p.m.,-122.400938,47.684034,"(47.684034, -122.400938)"
399,Volunteer Park,Wading Pool or Water Feature,6 a.m. - 10 p.m.,-122.315568,47.630378,"(47.630378, -122.315568)"
4419,Linden Orchard Park,P-Patch Community Garden,4 a.m. - 11:30 p.m.,-122.347727,47.678016,"(47.678016, -122.347727)"
475,Belvoir Place,Fishing,4 a.m. - 11:30 p.m.,-122.283215,47.655124,"(47.655124, -122.283215)"
307,Green Lake Park,Basketball (Full),24 Hours,-122.330394,47.678938,"(47.678938, -122.330394)"
